date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-05-06,13214537,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-06,13214557,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-06,13214562,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-07,13214537,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-07,13214599,4380392,1.0,210.0,1.0,210.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-07,13214557,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-08,13214529,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-05-08,13226587,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-08,13214541,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-08,13214557,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-09,13214541,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-09,13214557,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-10,13214541,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-10,13214557,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-10,13214552,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,4.0
2023-05-11,13214541,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-11,13214552,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,4.0
2023-05-11,13214546,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-05-11,13221157,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-05-12,13214541,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-12,13214546,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-05-13,13214546,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
