id,key,name,custom,orderable,navigable,searchable,clauseNames,type,type_id,schema_type,schema_custom,schema_customId,schema_system,schema_configuration
customfield_10128,customfield_10128,Expected Hours,True,True,True,True,"cf[10128], Expected Hours, Expected Hours[Number]",PROJECT,10021,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10128.0,,
customfield_10129,customfield_10129,Actual hours,True,True,True,True,"Actual hours, Actual hours[Number], cf[10129]",PROJECT,10015,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10129.0,,
customfield_10008,customfield_10008,Actual start,True,True,True,True,"Actual start, Actual start[Time stamp], cf[10008]",,,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10008.0,,
customfield_10009,customfield_10009,Actual end,True,True,True,True,"Actual end, Actual end[Time stamp], cf[10009]",,,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10009.0,,
summary,summary,Summary,False,True,True,True,summary,,,string,,0.0,summary,
customfield_10000,customfield_10000,Development,True,True,True,True,"cf[10000], development",,,any,com.atlassian.jira.plugins.jira-development-integration-plugin:devsummarycf,10000.0,,
customfield_10001,customfield_10001,Team,True,True,True,True,"cf[10001], Team, Team[Team]",,,team,com.atlassian.jira.plugin.system.customfieldtypes:atlassian-team,10001.0,,{'com.atlassian.jira.plugin.system.customfieldtypes:atlassian-team': True}
customfield_10122,customfield_10122,Time,True,True,True,True,"cf[10122], Time, Time[Time stamp]",PROJECT,10021,datetime,com.atlassian.jira.plugin.system.customfieldtypes:datetime,10122.0,,
customfield_10002,customfield_10002,Organizations,True,True,True,True,"cf[10002], Organizations",,,array,com.atlassian.servicedesk:sd-customer-organizations,10002.0,,
customfield_10003,customfield_10003,Approvers,True,True,True,True,"Approvers, Approvers[User Picker (multiple users)], cf[10003]",,,array,com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker,10003.0,,
customfield_10004,customfield_10004,Impact,True,True,True,True,"cf[10004], Impact, Impact[Dropdown]",,,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10004.0,,
customfield_10115,customfield_10115,Task Type,True,True,True,True,"cf[10115], Task Type, Task Type[Dropdown]",PROJECT,10020,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10115.0,,
customfield_10116,customfield_10116,Technology,True,True,True,True,"cf[10116], Technology, Technology[Checkboxes]",PROJECT,10020,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,10116.0,,
environment,environment,Environment,False,True,True,True,environment,,,string,,0.0,environment,
duedate,duedate,Due date,False,True,True,True,"due, duedate",,,date,,0.0,duedate,
comment,comment,Comment,False,True,False,True,comment,,,comments-page,,0.0,comment,
statuscategorychangedate,statuscategorychangedate,Status Category Changed,False,False,True,True,statusCategoryChangedDate,,,datetime,,0.0,statuscategorychangedate,
customfield_10110,customfield_10110,Technology,True,True,True,True,"cf[10110], Technology, Technology[Checkboxes]",PROJECT,10018,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,10110.0,,
fixVersions,fixVersions,Fix versions,False,True,True,True,fixVersion,,,array,,0.0,fixVersions,
customfield_10111,customfield_10111,Expected Hours,True,True,True,True,"cf[10111], Expected Hours, Expected Hours[Number]",PROJECT,10018,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10111.0,,
customfield_10112,customfield_10112,Completion Date,True,True,True,True,"cf[10112], Completion Date, Completion Date[Date]",PROJECT,10018,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10112.0,,
customfield_10113,customfield_10113,Expected Hours,True,True,True,True,"cf[10113], Expected Hours, Expected Hours[Number]",PROJECT,10020,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10113.0,,
customfield_10114,customfield_10114,Completion Date,True,True,True,True,"cf[10114], Completion Date, Completion Date[Date]",PROJECT,10020,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10114.0,,
customfield_10104,customfield_10104,Start Date,True,True,True,True,"cf[10104], Start Date, Start Date[Date]",PROJECT,10010,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10104.0,,
customfield_10105,customfield_10105,Expected Hours,True,True,True,True,"cf[10105], Expected Hours, Expected Hours[Number]",PROJECT,10010,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10105.0,,
customfield_10106,customfield_10106,Start Date,True,True,True,True,"cf[10106], Start Date, Start Date[Date]",PROJECT,10010,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10106.0,,
customfield_10107,customfield_10107,Due Date,True,True,True,True,"cf[10107], Due Date, Due Date[Date]",PROJECT,10010,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10107.0,,
customfield_10108,customfield_10108,Completion Date,True,True,True,True,"cf[10108], Completion Date, Completion Date[Date]",PROJECT,10010,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10108.0,,
customfield_10109,customfield_10109,Expected Hours,True,True,True,True,"cf[10109], Expected Hours, Expected Hours[Number]",PROJECT,10010,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10109.0,,
customfield_10100,customfield_10100,Technology,True,True,True,True,"cf[10100], Technology, Technology[Checkboxes]",PROJECT,10019,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,10100.0,,
priority,priority,Priority,False,True,True,True,priority,,,priority,,0.0,priority,
customfield_10101,customfield_10101,Estimated Hours,True,True,True,True,"cf[10101], Estimated Hours, Estimated Hours[Number]",PROJECT,10019,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10101.0,,
customfield_10102,customfield_10102,Completion Date,True,True,True,True,"cf[10102], Completion Date, Completion Date[Date]",PROJECT,10010,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10102.0,,
customfield_10103,customfield_10103,Due Date,True,True,True,True,"cf[10103], Due Date, Due Date[Date]",PROJECT,10010,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10103.0,,
timeestimate,timeestimate,Remaining Estimate,False,False,True,False,"remainingEstimate, timeestimate",,,number,,0.0,timeestimate,
versions,versions,Affects versions,False,True,True,True,affectedVersion,,,array,,0.0,versions,
status,status,Status,False,False,True,True,status,,,status,,0.0,status,
issuekey,issuekey,Key,False,False,True,False,"id, issue, issuekey, key",,,,,0.0,,
aggregatetimeestimate,aggregatetimeestimate,Σ Remaining Estimate,False,False,True,False,,,,number,,0.0,aggregatetimeestimate,
creator,creator,Creator,False,False,True,True,creator,,,user,,0.0,creator,
aggregateprogress,aggregateprogress,Σ Progress,False,False,True,False,,,,progress,,0.0,aggregateprogress,
timespent,timespent,Time Spent,False,False,True,False,timespent,,,number,,0.0,timespent,
aggregatetimespent,aggregatetimespent,Σ Time Spent,False,False,True,False,,,,number,,0.0,aggregatetimespent,
workratio,workratio,Work Ratio,False,False,True,True,workratio,,,number,,0.0,workratio,
issuerestriction,issuerestriction,Restrict to,False,True,False,True,,,,issuerestriction,,0.0,issuerestriction,
thumbnail,thumbnail,Images,False,False,True,False,,,,,,0.0,,
created,created,Created,False,False,True,True,"created, createdDate",,,datetime,,0.0,created,
customfield_10090,customfield_10090,Design,True,True,True,True,"cf[10090], Design",,,array,com.atlassian.jira.plugins.jira-development-integration-plugin:designcf,10090.0,,
customfield_10091,customfield_10091,Technology,True,True,True,True,"cf[10091], Technology, Technology[Checkboxes]",PROJECT,10016,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,10091.0,,
customfield_10092,customfield_10092,Completion Date,True,True,True,True,"cf[10092], Completion Date, Completion Date[Date]",PROJECT,10016,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10092.0,,
customfield_10093,customfield_10093,Estimated Hours,True,True,True,True,"cf[10093], Estimated Hours, Estimated Hours[Number]",PROJECT,10016,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10093.0,,
customfield_10094,customfield_10094,Task Type,True,True,True,True,"cf[10094], Task Type, Task Type[Dropdown]",PROJECT,10016,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10094.0,,
customfield_10095,customfield_10095,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10095]",PROJECT,10016,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10095.0,,
customfield_10096,customfield_10096,Delay Reason,True,True,True,True,"cf[10096], Delay Reason, Delay Reason[Short text]",PROJECT,10016,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10096.0,,
customfield_10097,customfield_10097,Task Type,True,True,True,True,"cf[10097], Task Type, Task Type[Dropdown]",PROJECT,10018,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10097.0,,
customfield_10098,customfield_10098,Actual Hours,True,True,True,True,"Actual Hours, Actual Hours[Number], cf[10098]",PROJECT,10018,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10098.0,,
customfield_10099,customfield_10099,Delay Reason,True,True,True,True,"cf[10099], Delay Reason, Delay Reason[Short text]",PROJECT,10018,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10099.0,,
security,security,Security Level,False,True,True,True,level,,,securitylevel,,0.0,security,
attachment,attachment,Attachment,False,True,False,True,attachments,,,array,,0.0,attachment,
customfield_10080,customfield_10080,Estimated Hours,True,True,True,True,"cf[10080], Estimated Hours, Estimated Hours[Number]",PROJECT,10012,number,com.atlassian.jira.plugin.system.customfieldtypes:float,10080.0,,
customfield_10081,customfield_10081,Delay Reason,True,True,True,True,"cf[10081], Delay Reason, Delay Reason[Short text]",PROJECT,10012,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10081.0,,
customfield_10082,customfield_10082,Task Type,True,True,True,True,"cf[10082], Task Type, Task Type[Dropdown]",PROJECT,10012,option,com.atlassian.jira.plugin.system.customfieldtypes:select,10082.0,,
customfield_10083,customfield_10083,Technology,True,True,True,True,"cf[10083], Technology, Technology[Checkboxes]",PROJECT,10011,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,10083.0,,
customfield_10084,customfield_10084,Completion Date,True,True,True,True,"cf[10084], Completion Date, Completion Date[Date]",PROJECT,10011,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,10084.0,,
customfield_10085,customfield_10085,Delay reason,True,True,True,True,"cf[10085], Delay reason, Delay reason[Short text]",PROJECT,10011,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,10085.0,,
